id,level,title,skill,n_exercises,n_items,identify_items,identify_ratio,has_reading_comprehension,has_matching,has_true_false,has_typing_selfcheck,has_character,n_rules,narrative_paras,score,classification,path
i-alphabetum-et-phonologia,I,Alphabētum et Phōnologia,pronuntiatio,3,10,0,0.0,False,True,True,False,False,3,2,3,A,curriculum/i/alphabetum-et-phonologia.json
i-vocales-diphthongi-et-longitudo,I,"Vōcālēs, Diphthongī, et Longitūdō",pronuntiatio,3,10,0,0.0,False,True,True,False,False,3,2,3,A,curriculum/i/vocales-diphthongi-et-longitudo.json
i-consonantes-et-digrapha,I,Cōnsonantēs Geminātae et Digrapha Nāsālia,pronuntiatio,3,10,0,0.0,False,True,True,False,False,3,2,3,A,curriculum/i/consonantes-et-digrapha.json
i-spiritus-et-accentus,I,Spīritūs et Accentūs,pronuntiatio,4,14,0,0.0,True,True,True,False,False,3,1,4,A,curriculum/i/spiritus-et-accentus.json
i-syllabae-et-enclitica,I,"Syllabae, Prōclīticae, et Enclīticae",pronuntiatio,4,14,0,0.0,True,True,True,False,False,4,2,4,A,curriculum/i/syllabae-et-enclitica.json
i-salutationes-et-verbum-sum,I,Salūtātiōnēs et Εἰμί (Verbum Essendi),grammatica,5,20,0,0.0,True,True,True,False,True,4,2,6,A,curriculum/i/salutationes-et-verbum-sum.json
i-articulus-et-numeri,I,Articulus (Fōrmae Nōminātīvae) et Numerī,grammatica,5,23,1,0.04,True,False,True,False,True,3,2,5,A,curriculum/i/articulus-et-numeri.json
i-pronomina-personalia,I,Prōnōmina Persōnālia,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/i/pronomina-personalia.json
i-lectio-prima,I,Lēctiō Prīma,lectio,3,9,0,0.0,False,True,True,False,True,2,1,3,A,curriculum/i/lectio-prima.json
ii-declinatio-prima,II,Dēclīnātiō Prīma,grammatica,5,23,3,0.13,True,False,True,False,True,3,2,5,A,curriculum/ii/declinatio-prima.json
ii-declinatio-secunda-masculina-et-neutra,II,Dēclīnātiō Secunda: Masculīna et Neutra,grammatica,5,22,3,0.14,True,False,True,False,True,3,2,5,A,curriculum/ii/declinatio-secunda-masculina-et-neutra.json
ii-articulus-plenus,II,Articulus Plēnus,grammatica,5,21,1,0.05,True,False,True,False,True,3,2,5,A,curriculum/ii/articulus-plenus.json
ii-adiectiva-classis-primae,II,Adiectīva Classis Prīmae,grammatica,5,22,2,0.09,True,False,True,False,True,3,2,5,A,curriculum/ii/adiectiva-classis-primae.json
ii-coniugatio-praesentis-activi,II,Coniugātiō Praesentis Āctīvī,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/ii/coniugatio-praesentis-activi.json
ii-coniugatio-praesentis-medii-passivi,II,Coniugātiō Praesentis Mediī-Passīvī,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/ii/coniugatio-praesentis-medii-passivi.json
ii-praepositiones-fundamentales,II,Praepositiōnēs Fundāmentālēs,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/ii/praepositiones-fundamentales.json
ii-adverbia-et-negatio,II,Adverbia et Negātiō,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/ii/adverbia-et-negatio.json
ii-interrogativa-fundamentalia,II,Interrogātīva Fundāmentālia,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/ii/interrogativa-fundamentalia.json
ii-numeri-cardinales-1-100,II,Numerī Cardinālēs I–C,vocabularium,5,21,3,0.14,True,False,True,False,True,3,2,5,A,curriculum/ii/numeri-cardinales-1-100.json
iii-declinatio-tertia-consonantica,III,Dēclīnātiō Tertia: Themata Cōnsonantica,grammatica,5,22,6,0.27,True,False,True,False,True,3,2,5,A,curriculum/iii/declinatio-tertia-consonantica.json
iii-declinatio-tertia-vocalica,III,Dēclīnātiō Tertia: Themata Vōcālica,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/iii/declinatio-tertia-vocalica.json
iii-adiectiva-tertiae-declinationis,III,Adiectīva Tertiae Dēclīnātiōnis,grammatica,5,22,2,0.09,True,False,True,False,True,3,2,5,A,curriculum/iii/adiectiva-tertiae-declinationis.json
iii-verba-contracta-in-eo,III,Verba Contracta in -έω,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/iii/verba-contracta-in-eo.json
iii-verba-contracta-in-ao-et-oo,III,Verba Contracta in -άω et -όω,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/iii/verba-contracta-in-ao-et-oo.json
iii-tempus-imperfectum,III,Tempus Imperfectum,grammatica,5,22,0,0.0,True,False,True,False,True,3,2,5,A,curriculum/iii/tempus-imperfectum.json
